label,text,ticket_id
O365,"Hola, estoy teniendo problemas para conectarme a Skype. No me deja entrar y no sé qué está pasando. ¿Pueden ayudarme por favor?",e4eea7ec9ab3ba4d
Support general,"Hey, could you set up a new Windows user account? They need Exchange email, Skype, and the standard file share access. Let me know if you need any more info to get started.",853c71f12d2f2037
O365,"Hi, I'm having an issue with Skype meeting invitations — could someone take a look and help me get that sorted out?",de79a2388e7e0d23
Support general,"Hi, could I get a DHCP reservation made? The device at [LOCATION] with MAC address [MAC_ADDRESS] is a printer and it needs a fixed IP.",dec12470847f6757
Software,I'm getting a BitLocker lockout notice on [NAME]'s machine and can't get past it — we need access urgently. Can someone help unlock it right away?,6a0f97e7b6d96494
Software,"Hi, I need Nautilus 9.3 and the Nautilus 9.3 Citrix app installed on my PC. I believe this might need approval through [COMPANY] first — if you need more details or have questions, please reach out to [NAME].",438eba1229dd6e89
Fileservice,"Hey, I need read and write access to a couple of shared folders on the J: drive — specifically J:[COMPANY]_[COMPANY] and J:IT-ILV, as well as the app22 share. Could someone grant me permissions? Thanks!",2bc6bab25b71f8a0
EOL,"Hi, [SERVER] is being retired and needs to be decommissioned in Nexthink. Can you remove it, check the IP reservations, and reach out to the network team about pulling the firewall rules? Appreciate it.",f98b0a415aa23343
Fileservice,"Hello, could you please set up a new user account? Let me know if you need any additional details from me.",8b7295d7c9f32333
Computer-Services,"Hi, we have a new printer that needs to be installed in [NAME]'s office. Could someone come by and take care of that when they get a chance?",d5d12e366919472a
Software,"Hi, I need help getting Contaction installed on my machine. Could someone from IT take care of that for me?",ddd79f1e08ed0799
Software,"Hi, I'm having trouble with my Pushmail authentication — the [LOCATION] Verify push notification isn't working and I can't get logged in. Can someone help me fix this?",1855a966552f52c9
EOL,"Requesting that [SERVER] be fully decommissioned — can you remove it from Nexthink, check on any IP reservations that might still be in place, and notify the network team to remove the firewall rules?",37e5d90cf9f83795
O365,"Hi, I'm having an issue where Word (.doc/.docx) files keep opening as resumes — this seems to be continuing from a previous issue logged at [LOCATION]. Could someone help me get this fixed?",0697a134d9e398cb
Fileservice,"Hi there, could you please grant me read/write access to the J:/E-CAD folder? I need to be able to open and edit files in there. Thanks!",8057eb69af1156a3
Support general,"Hi there, could you please set up a new Windows user account for a new team member? They'll need email access through Exchange, Skype, and the standard file share permissions. Thanks!",9099aafc6dae3b38
Fileservice,"Hello, I need read/write access to the J:/CT file share please. Could someone help get that sorted? Thanks.",3d741d6f20e0ab92
Active Directory,"Hi, I need to get some machines joined to the domain — could you help get them connected? Let me know what you need from me to move forward.",f15c88200d2dadbf
Support general,I've got no internet connection at all right now — nothing is loading and I can't get any work done. Can someone help ASAP?,1d11b23d52d6154f
Support general,Heads up — it looks like the site-to-site VPN link has gone down. We're losing connectivity between sites and it needs to be looked into as soon as possible.,cfeb08d377f51f5b
Fileservice,"Hi, I need read/write access to J:/MarkerDB — I work with the Marker Database and currently can't get in. Could you please grant me the necessary permissions?",9f83d75eb03607b0
EOL,"Hey, [SERVER] is no longer in use and needs to be properly decommissioned. Could you remove it from Nexthink, clean up any IP reservations, and make sure the network team pulls the firewall rules?",e5f9f5b91f7272bc
EOL,"Could someone help decommission [SERVER] from Nexthink please? This includes removing the system entry, checking for any lingering IP reservations, and making sure the network team removes the firewall rules.",82fb0ed3098424e8
EOL,"Hi there, we're retiring [SERVER] and need the full decommission taken care of. Can you remove it from Nexthink, verify IP reservations are cleared, and flag the network team to remove any associated firewall rules?",a65efc93a434dde5
Fileservice,"Hey, I'm having that same problem again where I can't access folders on the J: drive, specifically the PatosCaros server folder. Could you please set me up with the same access as [NAME] [NAME] ([EMAIL])? Thank you so much in advance!",415ad6db27a8d5f8
Support general,"Hi team, just a heads up that [NAME] (external, based at [LOCATION]) is leaving and their access will need to be removed. This is in reference to ticket [TICKET ID]. Please let me know if you need anything else from me.",6decfa4a6cc691df
Fileservice,"Hi there, I need access to a folder at N:/MA55/ — I don't think it exists yet, so could you create it and give me read/write permissions? Thanks so much!",2e95dbaaac7f12ce
Software,"Good morning! We're having a weird issue with PDF files — on my end they show up fine with the .pdf extension, but when I send them to other people they're showing up as .dll files and no one can open them. Not sure what's going on but it's affecting multiple people I've shared files with.",4ce6a89ec8f4834b
Software,"Hi, I'm following up on ticket [TICKET ID] regarding a Citrix issue for [NAME] at [COMPANY] Inc. in [LOCATION]. Could someone please assist or provide an update?",5c1c4b6c3be8b995
Support general,"Hey, I need a user added to the server at [LOCATION] so they can access the Marketing resources there. Could you get that set up when you have a chance?",f19df4061d7bc2b0
Fileservice,"Hi there, I need a new user account set up please. Could someone help get that arranged? Thanks!",c8769107b0fd7ee7
Fileservice,"Hi, could you please give me read/write access to the j:/ins-dv file share? I need to be able to create and edit files in that location. Thanks in advance!",54e628cfc3486004
Support general,"Hi, I'm still having trouble with [LOCATION] on a new device ([SERVER]). It doesn't seem to be working properly — could someone take a look?",5aee19d87457e503
Support general,Could you please create a Light (external) user account for a new external contact? They'll just need basic email and system access to get started.,16fee4c3d63a4aa6
Support general,"Hi, I need a standard (Basis) user account created for [NAME] with the username [USERNAME]. They're based at [LOCATION] and are part of [COMPANY]. Could you get that provisioned when you get a chance?",b440ffa0c11b3086
Support general,"Hi, this is to let you know that [NAME] from [COMPANY] at [LOCATION] has left the organization — this is linked to ticket [TICKET ID] at [ADDRESS]. Could you please process the account offboarding? Thanks.",b014e3b431736cd7
Support general,I keep getting an error when I try to connect to [URL] — it just won't load no matter what I try. Can someone take a look at what's going on?,9917f38e34343400
EOL,"Hey, can you kick off the decommission for [SERVER]? That means removing it from Nexthink, checking if any IP reservations are still active, and letting the network team know to remove the firewall rules.",be03607f2dc20988
Fileservice,"Hello, could you give me read-only access to J:/FW-B? I just need to be able to view files in that folder. Thanks!",f82466cff2e607a3
Computer-Services,"Hey, I'm having some trouble with scanning — it doesn't seem to be working properly. Could someone take a look and help me figure out what's going on?",f6ac1c7939cf7b9f
Support general,"Hi, could you please create a light external user account for someone outside our organisation? They'll just need email access and basic system access to get started.",6f5d00d24c332a94
Fileservice,"Hey, could you set me up with read/write access to the [SERVER]-RW file share? I need to be able to read and edit files on there. Thanks!",3c748c87d0a410c8
O365,"Hi, I need to request a change to a user's name and their associated email address. Could someone help process this update?",65a4ab380ac5ff08
Active Directory,"Hi, just a heads up that [NAME] from [COMPANY] at [LOCATION] will be leaving the company on 28/12/2017. Could you please take care of the offboarding on your end? Thanks!",02121f5408651aff
EOL,"Hi, can you please process the decommission for [SERVER]? That means removing it from Nexthink, checking for any IP reservations to release, and notifying the network team to clean up the firewall rules.",c2852aa36de23598
Software,"Hi, I've noticed I'm not receiving any emails from outside the company. I'm expecting some important messages from external contacts but nothing is coming through — can someone look into this?",09489fb2d7694be8
Software,"Hi, I need the BarTender program installed on my computer. Once it's done, could you let me know when it's ready? I need to confirm it's working before I can get back to work. Thanks!",528a78424c0c9ec5
Support general,Urgent — we're getting an alert that the site-to-site VPN link has gone down. Can someone look into the network connectivity right away? This is affecting access on our end.,9417b2f8c91606d1
EOL,"Hi there, [SERVER] is being retired and I need help with the cleanup — specifically removing it from Nexthink, freeing up any IP reservations, and getting the network team to drop the firewall rules.",462777b58c02664d
EOL,We're sunsetting [SERVER] and need it removed from Nexthink. Could you check the IP reservations as well and let the network team know to clear out the firewall rules? Thanks.,d037ba43df662a42
Software,"Hi, I'm Ricard and I need login credentials to access [NAME]. Could someone set that up for me so I can get in?",edbe45c4d9db56ad
Active Directory,"Hey, I need to have a user account fully cancelled and all their access revoked as soon as possible. Could someone take care of that?",fcb961890afa76b9
Software,"Hi, could someone help me get the R Suite installed? I need it for some upcoming work and want to make sure it's set up properly.",e4c011d16ba73a14
Support general,"Hi, I need a Basis user account set up for [USERNAME]. Could someone take care of that when they get a chance?",1a2d10127237b55f
Fileservice,"Hello, could I please get read-only access to J:/FAQ BTR_HR? I just need to be able to look things up in there, no need to edit anything.",ab402b43a75a319a
Support general,"Hey, I'm having trouble getting my work email on my cell phone — it's not working properly and I'm not sure what's going on. Could someone help me figure out what's wrong and get it sorted?",8bf46bd03bacfc52
Fileservice,"Hey there, I need to request access to a file share. Could someone please get me set up with the right permissions?",17c792b3aa3a66dc
Fileservice,"Hi there, I need access to some folders on the server but I'm currently unable to open them. Could someone help me get the right permissions set up? Please let me know what info you need from me.",21a777d6abf3580e
Active Directory,"Hi, we have a new employee starting soon and need to get them set up with a Windows account, email, Skype, and access to the standard file shares. Could you help get that all created? Thanks!",0ba1afcbcfe4adb4
Fileservice,"Hello, I need read/write access to J:/LTR and J:/Projekte, and I also need to be added to the AD group Project_Manager_TP in [LOCATION]. Could you help with all of that?",9461affb568a6306
Active Directory,"Hi, the account for [EMAIL] is locked out and they can't log in. Could someone please unlock it right away? They need access urgently.",39739488d8f047e3
Fileservice,"Hey, I need read/write access to J:/MA-BD — I can see the folder but can't open or edit anything in it. Can someone sort out my permissions?",ff40543188e8ba57
O365,"Hi there, I'm having some trouble accessing Skype — I think there might be an accessibility issue on my end. Could someone help me figure out what's going on?",91102dc636f5121e
Fileservice,"Hi, I'm hoping to get read-only access to a few folders on the J: drive — specifically J:/KALENDER, J:/Prüfprotokolle, and J:/Thermographie. I just need to be able to view the contents. Thanks in advance!",cf698b46eb7cac1b
Fileservice,"Hi, I'm trying to access the J: drive from my notebook but I can't get it to connect. Could someone help me get that set up?",a9f2ca0354dba8e8
Support general,"Hi, could you please set up a Basis user account for [USERNAME]? Let me know if you need any additional information to get this done. Thanks!",68c0273c657bb015
Computer-Services,"Hi, I need a new printer driver installed on my machine. Could someone help me get that set up?",9b9060176e97c01d
Computer-Services,"Hi, could someone help me get a printer installed on my computer? I'm not sure how to set it up myself. Thanks!",e4a4a874e9e868e5
Software,"Hi, I need Base Discovery enabled on my account or system. Could someone help get that turned on for me?",7dd2a11ce072b0ba
Support general,"Hi, I'm having an issue with my iPad Pro and need some help sorting it out — could someone from IT take a look?",7f565f2dec639969
Computer-Services,"Hey, could someone add a label printer for me? I need it installed so I can start printing labels — let me know if you need any more details.",230b288090bf6b20
Computer-Services,"Hi there, could someone help me get a scanner installed? I need it set up on my computer but I'm not sure how to do it myself.",20f742408bcc4411
O365,"Hi there, I'm having an issue with Skype and need some help getting it working again.",6439c63fef811243
O365,"Hey, OneDrive keeps asking me to sign in over and over again and it's really slowing me down — I can't get to any of the documents I'm trying to work on. Can you help get this sorted out?",ed56e2495bde7d16
O365,"Hi, I have a question about email encryption and need some help understanding how to set it up or use it. Can someone assist?",6b7fe7274b127893
Fileservice,"Hey, I need read/write access to the j:/stundenbuecher folder on the J: drive. Could you get that sorted out for me? Thanks a lot!",b8d1fa89b7ffbbd2
Software,"Hi, could you help me get verified for everything? I need [NAME] to go through the verification process.",17e8491638433cbc
Support general,"Hi there, we have a new team member starting and I need to get them set up with a Windows account, Exchange email, Skype, and access to the standard file shares. Could you help get that created?",43be816167fc1956
Support general,"Hi, I need a basic user account set up for [USERNAME]. Just the standard access should be fine, nothing special.",fa6d8c07cf1f7760
EOL,"Hi, I need [SERVER] decommissioned. Can you remove it from Nexthink, double-check any IP reservations that might still be active, and reach out to the network team to take down the firewall rules?",a3994fce52786424
Support general,"Hi there, can you please provision a Basis user account for [NAME]? The username should be [USERNAME] and they're with [COMPANY] located at [LOCATION]. Thanks!",5ad2e4cf820d4373
Computer-Services,The printer in the Building 6 Fishbowl isn't working. Can someone come check it out? A few of us are trying to use it and it's not responding.,8e2daf12a2c64888
Fileservice,"Hi, I'd like to request access to a file share. Could someone reach out to me to get the details sorted? Thanks.",84796a4b34b04dde
Support general,"Hey, I need a DNS entry created for [LOCATION] — specifically for [SERVER]m.[COMPANY]up.ads.dir. Could you get that added when you have a chance?",ca17fa64d705fac6
Support general,"Hi, my VPN keeps disconnecting and I can't stay connected for more than a few minutes — can someone take a look at what's going on?",dd6cc0e04b918713
O365,"Hey, I'm having a hard time getting into Skype — I keep running into issues trying to access it. Could someone help me figure out what's going on?",5b549e3967364ee1
Computer-Services,"Hi there, I need to get the scanner driver installed on the computer in the potting room. Could someone come by and take care of that when they get a chance?",abc186ee223c4801
Active Directory,"Hi, [NAME]'s AD account keeps getting disabled and it's becoming a real problem — they're getting locked out repeatedly and can't get any work done. Could someone look into why this keeps happening and fix it?",547169fa10cd9850
Computer-Services,"Good afternoon! I'd like to get a printer set up on my computer — it's a RENA printer, the [COMPANY]elo Enveloper Imager 2.5. We use it specifically for printing on seed packets. Could someone help me get it installed? Thanks so much!",fbfaec877c8207da
Software,"Hey, the Snipping Tool isn't working on my computer anymore and I use it pretty regularly. Could you reinstall it for me?",5cedd1ea6fba057e
Support general,"Hi, I'd like to request a basic user account be created for [USERNAME]. Could someone take care of that when possible? Thanks.",251a91f85bc283f4
Support general,"Hi, could you please grant VPN access with a software token for [NAME]? Let me know if you need any additional details.",7d22fcadb7268739
Fileservice,"Hi, I need read/write access to the SB-PM folder under Groups on the J: drive. Could you set that up for me when you have a moment?",de9fb445436bdce9
EOL,"Could you take care of decommissioning [SERVER]? We need it removed from Nexthink, any IP reservations cleaned up, and the network team notified to pull the firewall rules for that server.",6f7966b07dca440b
Fileservice,"Hey, could someone grant me read and write access to the J: drive? I need to be able to open and save files there for my work. Thanks!",e57e2080a179d2fd
O365,"Hey, Skype for Business has been really hit or miss for me lately — sometimes it works fine and other times it's super slow or drops out entirely. It's been pretty disruptive. Can someone look into what might be causing it?",958e7e7b471e5678
Support general,"Hi there, I need a Light user account created for an external person — they'll need email access and basic system access but nothing beyond that. Could you get that set up for them?",2792d3a82a29fd27
O365,"I can't see my Outlook Calendar — when I try to open it, nothing shows up. Can you help me get it back?",f5a35053e4caef2d
Software,I'm having an issue with the Okta mobile app and could use some help getting it sorted out.,062254aaeb2167c9
Fileservice,"Hello, could you create a new folder on [SERVER] for us? Please let me know if you need any additional details about where exactly it should go or what permissions it needs.",820396e11211dc28
Software,"Hey, I went to log into Citrix and it's saying my credentials are missing — I can't get in at all. Can you help me get this fixed?",c0f7ea9d5ce2bac6
O365,"Hi, could you please make a settings change for the email address [EMAIL]? Let me know if you need any additional details from me.",cefa49d6a5c08441
Fileservice,"Hi, I need read/write access to J:/CE-STA/ please — and if that folder doesn't exist yet, could you create it as well? Thanks a lot!",e25c83c8c1b91222
Support general,"Hi, I need a new Windows user account set up — they'll need Exchange email, Skype, and access to the standard file shares. Could you get that created for them?",6a31d59a0aa6ea28
O365,"Hi, could you please update my email address to [EMAIL]? Thanks so much!",7dfaf237589ddc9a
Active Directory,"Hi, could you please deactivate the following email address: [EMAIL]? The account is no longer needed and should be disabled. Thanks!",49b4fe1e8175ad86
O365,"Hey, could you help me get a new email list set up? Please let me know what information you need from me.",c53aa09f38122d20
EOL,"Hey, [SERVER] is being decommissioned. Could you take care of removing it from Nexthink, check on any IP reservations tied to it, and give the network team a heads-up to remove the firewall rules?",828ac09676059711
Computer-Services,"Hey, the printers here aren't working properly — not sure what happened but they seem to be malfunctioning. Can someone take a look?",f645275bb9b54c83
O365,Could you please add some users to our existing shared mailboxes? Let me know if you need a list of who needs access to which mailbox.,880c44f3e410b4f8
EOL,"We're decommissioning [SERVER] and need a few things handled: removal from Nexthink, a check on any IP reservations, and a heads-up to the network team to remove the firewall rules. Thanks in advance!",cf787343dc0ee0d7
Fileservice,"Good morning! Could you please create a 'Stock Report' folder inside the Groups J drive under the Laboratory section, and grant access to everyone listed on this ticket? Really appreciate the help!",83688e233fe42297
Fileservice,"Hello, could you please grant me read/write access to J:/CE-STA/? If that folder doesn't exist yet, could you create it as well? Really appreciate the help!",b430ba758781863e
Fileservice,"Hey, I need read/write access to J:/MarkerDB — I'm working with the Marker Database and can't get into the folder at the moment. Could someone grant me access as soon as possible? Thanks!",bf26ceedd5bae1f9
O365,"Hi, could you please add [NAME] to the Shakopee Employees Distribution List? Thanks so much!",e36b173975d18c55
Support general,Just flagging that OS updates need to be applied to [SERVER] at the LH location — can someone schedule or action that?,78e2e07fd67698fa
Support general,"Hi there, I'm getting an alert saying the site-to-site VPN link is down — can someone investigate the network connectivity as soon as possible? This could be affecting a lot of people.",7b5c57f55cceda0e
Support general,"Hi, I need to get the BlackBerry Work apps installed fresh on a device — could someone help with a new installation of those apps?",b71746501674c95b
Fileservice,"Hey, I need read/write access to several folders on the J: drive: J:/CLC-Server, J:/CS-MED, J:/Geldokumentation, and J:/MOL_Service. Could you get those permissions sorted out for me? Thanks!",e3d0cca2aa05316a
EOL,"Hey, [SERVER] is being decommissioned — could you take it out of Nexthink, verify any IP reservations are cleared, and let the network team know to pull the associated firewall rules?",a7a5e145b7dbd3a3
Computer-Services,"Hey, could someone help me get a printer installed on my computer? I'm not sure how to do it myself. Thanks!",bf9ea99a3c5ee160
Fileservice,"Hi, could you please grant [NAME] full read/write access to J:/SB-´BD_beet_contract_analysis? They need to be able to work in that folder. Thanks!",75693aa725113718
Software,"Hi, I need Google Earth and Basecamp installed on my computer. Can someone help with that?",413d79df1e8134d6
Fileservice,"Hi, could you please give me read/write access to the file share at N:/share_/Döbbert? I need to be able to save files there. Thanks!",488684049a6b8cc5
Support general,Could you please set up a Light user account for an external person? They'll just need email access and basic system access to get started. Thanks!,3f5d33d2befb9fd1
Fileservice,"Hello, could you please grant me read/write access to the L:/MF file share? I need to be able to save and edit files there. Thank you!",a0068379c9cc01b3
Active Directory,"Hi, we have a third-party consultant who is being denied access to our systems and they need to get in to do their work. Could someone look into why their access isn't working and get it sorted out? Thanks.",c990c3126ebfe575
Fileservice,"Hi, could you please grant me read/write access to N:/[SERVER]/STA-LEM, N:/[SERVER]/STA-CAM, and N:/[SERVER]/STA-[LOCATION]? Thanks!",29fa29ef057dfd5a
EOL,"Can you kick off the decommission process for [SERVER]? That means pulling it from Nexthink, checking on any reserved IPs, and having the network team remove the firewall rules when you get a chance.",00122ea0a0afe542
Fileservice,"Hey, I need read and write access to j:/ins-dv on the shared drive. Could someone set that up for me? Thanks!",1f8dda6bb140fd5b
Support general,"Hi team, just a heads-up that planned maintenance is scheduled for [SERVER][LOCATION] on 2018-10-04 at 10:00[LOCATION]. This affects cpe0009469 ([COMPANY]) and cpe0013003 ([LOCATION]_Kimberly) [COMPANY] SE. Please confirm once you've reviewed this and let us know if there are any issues.",25f7712f7c7893ed
O365,"Hi, there's a shared Excel file called Protoplast_Exp_Plan_2018 that keeps saying I ([NAME]) have it open, but I really don't — it's been closed on my end. Because of this, no one else can edit the document. Could you please fix this? Thanks so much.",f8b1cdd080bddd2b
Computer-Services,I can't seem to print to the new copier in KIM — whenever I try to send a print job nothing happens. Can someone help me get it set up on my computer?,dca570f981f052fe
Active Directory,"Hi there, it looks like there's a GPO missing for [LOCATION] at [ADDRESS] — could someone take a look and get that sorted out?",a233f87f7403a1d6
Support general,"Hi, I need a new Windows account set up for a new team member. Please include Exchange email, Skype, and access to the standard file shares when you get a chance.",44c4d811e0843823
Support general,"Hi, I'd like to request a Light User account for an external user — this is related to [TICKET ID] and is for Everding, Florian. Could you get that set up when you get a chance?",df22803ed0b0f0ca
Computer-Services,"Hello, I need a parallel printer installed — could someone help me get that set up? Let me know what you need from me.",0c16946f9fa3ceb3
O365,"Hi, could you help us get a general shared mailbox set up for our team in Employee Management? We need somewhere the whole team can send and receive emails from.",83f4974191c2cfd0
Fileservice,"Hi there, could I get read/write access to the J:/Topf- und Substratbestellungen folder on the network drive? I need to be able to add and edit files in there. Thanks!",1ba8536401a62ea2
Software,"Hi, I'm having a certificate issue related to [NAME] and need some help getting it sorted out.",aaf460f229531f92
Support general,"Hi, the protective film on my work phone is damaged and needs to be replaced — can someone arrange that for me?",d4399b402b8861cd
Support general,"Hi, I need to get international roaming set up on my mobile. Could you help with enabling that? I'll be traveling soon and need it sorted before I leave.",9dce5477e3788570
Support general,"Could you please create a new Windows user account for a new starter? They'll need Exchange email, Skype, and the standard file share access set up.",0708558895fa8c32
O365,"Hi, I'm having trouble sending emails to [URL] — every time I try, it just fails. Can you look into what's blocking it?",502e381c0f9074bb
Computer-Services,The printer has a paper jam and I can't clear it. I tried following the usual steps but it's still stuck — could someone come take a look?,c670e990463f0866
Active Directory,"Hi, I need to get a new Windows account set up for someone — they'll need email through Exchange, Skype, and access to the standard file shares. Could you help get all of that provisioned?",8659f1e0dd35c186
O365,"Hey, I went to use the Analysis Tool today and it seems to be missing — I can't find it anywhere. Could someone help me figure out where it went or get it restored?",53276fb85c1ced28
Fileservice,"Hey, could I get read and write access to J:/scan/canon/ningel on the file share? Thanks in advance.",9a5b25939872af2b
Support general,"Hi team, it looks like the Light House system is missing some updates — it doesn't seem to be current. Could someone take a look and make sure everything is patched up properly?",f88641bda757d219
Fileservice,"Hey, could you give me read/write access to the [SERVER]-[SERVER] file share? I need to be able to access and edit files there. Thanks!",9503a6b819b6cba6
Software,"Hello, I need the [LOCATION] (Federal Revenue) program installed on my computer. Could someone please help with that?",bb29a5f4e836589e
Fileservice,"Hi, this is a follow-up to ticket TCK85637 regarding my file access — it looks like the issue wasn't fully resolved and I'm still having problems. Could someone please take another look?",ec6896e3eaa2d8c8
Active Directory,"Hi there, I need to have a system deleted and fully removed. Could someone handle this when possible? Happy to provide more details if needed.",b019d16dbd2a3d4f
O365,"Hi, I need access to some email folders but I'm not able to get in right now. Could someone grant me the right permissions?",e91180b582887c7e
Support general,"Hi, I need help getting BlackBerry set up on my mobile phone — could someone walk me through it or get it configured for me?",8a61f8064907a9a3
Computer-Services,I'm having a problem with the Zebra printer over in Basic Seed — it's not working right and I could really use some help getting it fixed. Could someone come take a look?,8ff930ca8ef61036
Fileservice,"Hi, I need to request access to a file share — could someone help me get that set up? Please let me know if you need any additional details from me.",10c4b4b659ed3530
Active Directory,"Hi, it looks like a user account has been blocked and they can't log in. Could someone take a look and get it sorted out? They need access urgently.",8eb9ed0f6ad6bff7
Active Directory,"Hi, we have an employee who has left the company and I need their Windows and email accounts deleted, all system access revoked, and their hardware returned. Could you please handle the full offboarding process?",feaf626732bd4594
Computer-Services,"Hi, I need a printer installed on [SERVER]. Could someone help get that set up when you have a moment? Thanks!",0cf41e8106eb9546
Support general,"Hello, we need a new Windows user account created with Exchange email, Skype, and access to the standard file shares. Could you get this set up for us?",1cd7f590565fd098
O365,"Hi there, could you please create some generic email addresses for the [LOCATION] Procurement team? Let me know if you need any more details from me.",deac4d449b75b6e8
Software,"Hey, I need some software installed on my computer. Could someone from IT help me get it set up?",3d5b99e05f239782
Support general,"Hey, can you create a new user account for someone joining us? They'll need the full setup — Windows login, Exchange email, Skype, and the standard file share access. Thanks!",8a700dcafcc5fada
Computer-Services,"Hi there, my printer needs some adjustments — something isn't quite right with how it's set up. Could someone come take a look and get it sorted out?",8dc00ed1977a71f7
Support general,"Hi, could you please create a new user account for someone who's joining us? Let me know if you need any details from me to get it set up.",20196e30b1444f4a
Support general,"Hey, I need a new Windows account created for someone — they'll need Exchange email, Skype, and access to the standard shared drives. Let me know if you need any more details!",380af5ea3225d3c4
Fileservice,"Hello, I need read/write access to the J:/CE-STA/ folder — and if that folder doesn't exist yet, could you create it as well? Thanks so much!",5abde6054c843bff
Support general,"Hi, this is a request for an additional application [LOCATION] service related to ticket [TICKET ID] for [NAME] at [COMPANY], [LOCATION]. Please let me know if you need more details.",802dcf7c392a507d
Fileservice,"Hi, could you please give me read-only access to the file share at j:/PDW/TargetDB/? I need to be able to view the files there but don't need to make any changes. Thanks!",59548b63c8029d5c
EOL,"We need to decommission [SERVER]. Please remove it from Nexthink, check for any IP reservations that need to be released, and notify the network team to remove the firewall rules on their end.",4ebc6fae5f598926
Support general,"Hi, I need a basic user account set up for [NAME] with the username [USERNAME] at [COMPANY] in [LOCATION]. Could someone please get that created when you have a chance?",acadd13ed608c13b
Active Directory,"Hi, my account seems to be blocked and I can't log in at all. I'm not sure what happened — could someone please unblock it? I need access to do my work.",b287cef225f32be0
O365,"Hey, I need some adjustments made to the shared mailbox [SERVER]. Could someone help me get that updated? Thanks.",b0fce463a629dad9
Software,"Hey, could someone please install the Extech RHT10 software on my computer? I need it for work and don't have it yet.",ef6b124338bafd2c
Computer-Services,"Hi, could someone update the names listed on the Shakopee copier? They need to be changed and I don't have access to do it myself.",3d01fbd89b5853c9
Active Directory,"Hi, [NAME] is getting a login failure every time they try to sign into their Microsoft account and can't get in at all. Could someone help figure out what's going on?",e480ff51e1b4e98b
Support general,"Hello, could you please create a new Windows user account? The person will need Exchange email, Skype, and the usual file share access set up as well.",da8f6487214a38dd
O365,"Hi, I'm reaching out on behalf of Santiago [NAME] — he's not able to log in to Office 365 and needs access restored as soon as possible. Can you help?",1114187529604ff3
Support general,I'm having a problem with [LOCATION] on a new device — it's [SERVER] and something doesn't seem to be working right. Can someone help me get it sorted?,f074ec3b44513fb6
Support general,"Hi, please could you create a Basis user account for [NAME] ([USERNAME])? They're with [COMPANY] and are based at [LOCATION]. Let me know if you need anything else!",372ed41d04261aa6
Support general,Just flagging that the site-to-site VPN link appears to be down again — can someone investigate the connectivity issue urgently? We're having trouble reaching the other site.,6912608e39cc7e1c
