run,ticket_id,text,label,prediction,raw_output
Mac baseline,e4a1a5a1ba5f8ca7,"Hi, I need a program installed on my computer so I can access the Itau account. Could someone help get that set up for me?",Software,Fileservice,Fileservice
Mac baseline,f7dcde192dc94cef,"Hi there, could you create a light external account for someone we're bringing on temporarily? They'll just need email and basic system access. Thanks so much!",Support general,O365,O365
Mac baseline,4110aedfa0670c61,"Hey, could you please create a new Windows user account for someone starting soon? They'll need Exchange email, Skype, and standard file share access set up. Appreciate it!",Support general,Active Directory,Active Directory
Mac baseline,5ad420ef2826130d,I'm working from home today and can't get an internet connection through my ethernet cable. Wifi seems fine but the wired connection just isn't working at all.,Support general,Computer-Services,Computer-Services
Mac baseline,6a31c881185b7a04,"Can you kick off the decommission process for [SERVER]? Needs to be removed from Nexthink, IP reservations checked, and the network team should be looped in to remove the firewall rules.",EOL,Computer-Services,Computer-Services
Mac baseline,8ac22a9fd841d4c4,"Hi, just flagging that there's a vulnerability alert that was initiated by [COMPANY] [LOCATION] on [SERVER] at [LOCATION]. Could someone look into this as soon as possible?",Support general,Active Directory,Active Directory
Mac baseline,7a21b7a230258372,"Hi, I need to request login access for [LOCATION] — could someone please help me get that set up?",Fileservice,Support general,Support general
Mac baseline,16cc5937072331a3,"Hi team, we need to decommission [SERVER] from Nexthink. This includes removing the system from Nexthink, checking and cleaning up any IP reservations, and notifying the network team so they can remove the associated firewall rules. Please let me know if you need any additional details to get this done.",EOL,Active Directory,Active Directory
Mac baseline,d3c71b1b0e59bf9e,"Hey, I'm getting an error when I try to use the RFB website. Not sure what's causing it but I can't get it to load properly — could someone help?",Support general,Fileservice,Fileservice
Mac baseline,a87a6d1705d932ae,"Hello, could you please create a Light external user account with email and basic system access for someone outside our organization? Thanks so much!",Support general,O365,O365
Mac baseline,71a07db0f81c8cd0,"Hey, I need to request access to [LOCATION] for our IT team — the site address is [ADDRESS], Americas region. Could someone get that set up?",Active Directory,Computer-Services,Computer-Services
Mac baseline,9e1b03bd9cf94ff5,"Hi, I'm trying to access something but it looks like I don't have the right permissions. Could someone look into releasing access for me? Happy to provide more details if needed.",Fileservice,Active Directory,Active Directory
Mac baseline,3f32e8a2b5b5a8dc,"Hi, I need my Okta Verify reset — I'm not able to authenticate right now and I'm locked out of everything. Please help!",Software,Active Directory,Active Directory
Mac baseline,efbbb92eefd7ddda,"Hello everyone, I'm running into a network access issue between two servers. From [IP_ADDRESS] there's no access to port 443 (HTTPS) on [IP_ADDRESS], though it works fine in the other direction. We have a geoprocessing web application that requires two-way communication over HTTPS between the app server and the geoprocessing server, so we really need traffic to flow both ways. Could you please enable access from [IP_ADDRESS] to port 443 on [IP_ADDRESS]? Thanks so much, [NAME]",Support general,Computer-Services,Computer-Services
Mac baseline,bdfe54fe6a09e70a,"Hi, I'm having some trouble with access — could someone help me out? I'm not sure who else to contact.",Active Directory,Support general,Support general
Mac baseline,c80bbfd28ef5c491,"Hey, I just realized I don't have Outlook on my computer — can someone get that installed for me? I need it to handle my emails.",Software,O365,O365
Mac baseline,2ecb11b307867d09,"Hi there, we have a new person starting and they'll need a user account set up. Could you help get that sorted out for them?",Fileservice,Active Directory,Active Directory
Mac baseline,547b58d0139533e1,"Hello, I need a new Windows account set up for someone on my team. They'll need email through Exchange, Skype, and access to the standard shared drives. Thanks!",Support general,Active Directory,Active Directory
Mac baseline,27c2cb666560c30a,"Hello, I need a Light (external) user account created with email access and basic system permissions. Could you get that set up for me? Let me know what information you need.",Active Directory,O365,O365
Mac baseline,74cbcad4893dbb00,"Hi, I need a program installed on my computer and also need the printer drivers updated. Could someone help me get both of those sorted out?",Computer-Services,Software,Software
Mac baseline,dd47d6637644c0f8,This was initiated by [COMPANY] [LOCATION] — there's a vulnerable [LOCATION] identified at [LOCATION]-[ADDRESS] that needs to be investigated.,Support general,Active Directory,Active Directory
Mac baseline,d4af0c3b69cc74e4,"Hey, I need to get registered with Okta and I'm not sure how to do it on my own. Could someone walk me through the new Okta registration process?",Software,O365,O365
Mac baseline,cd616f1300b032bb,"Hey, could you set up a basic user account for Birgit with the username [USERNAME] at [COMPANY] in [LOCATION]? Thanks in advance!",Support general,Active Directory,Active Directory
Mac baseline,d167893b85013fd0,"Hi there, could someone please install Microsoft Teams on my computer? I need it to connect with my team and I don't have it yet.",Software,O365,O365
Mac baseline,157fee2d953dfdd9,"Hello, we have a new team member starting and need a user account created for them. Could you help get that set up? Let me know what information you need from me.",Fileservice,Active Directory,Active Directory
Mac baseline,01b46e1aaedcc28b,"Hey, could someone check the DNS and DHCP entries for the 10.10.89.0 network on the server side? Something doesn't seem right and it needs to be looked into.",Support general,Computer-Services,Computer-Services
Mac baseline,5fa732cf77e7b0b0,"Heads up — emergency maintenance has been scheduled on [SERVER] at [LOCATION] for 2018-08-31 at 02:00 [LOCATION], affecting cpe0004630 ([LOCATION]_Balcarce), cpe0007405 ([LOCATION]_SaoPaulo), and cpe0008460 ([LOCATION]_PatosDeMinas) for [COMPANY] SE. Feedback on this is required — please respond when you can.",Support general,Computer-Services,Computer-Services
Mac baseline,bb3e1c8b6a87aaa0,"Hey, I'm having an issue with my headphones — can someone from IT help me out?",Support general,Computer-Services,Computer-Services
Mac baseline,b8c252526b36df23,"Hi, could you please create a Light (external) user account with email and basic system access for an external user? Thanks so much!",Support general,O365,O365
Mac baseline,0a8b335d38e62edb,"Hi, I need to get a new email address set up. Could someone help me with that?",Active Directory,O365,O365
Mac baseline,5102a9a6b3b0c4b8,I need some help getting a conference call set up. Could someone assist me with that when you get a chance?,O365,Computer-Services,Computer-Services
Mac baseline,07629d51533938c3,"Hi, is it possible to have attachments automatically removed or stripped from emails that come in from external senders? I'd like to get that set up if we can.",O365,Fileservice,Fileservice
Mac baseline,2135dd35f563c29e,"Hi, I'm having a problem with my computer — it's not turning on at all. I press the power button and nothing happens. Can someone come take a look as soon as possible?",Support general,Computer-Services,Computer-Services
Mac baseline,57f263938739c2a1,"Hi, could you please set up a Light (external) user account for someone who needs email access and basic system access? Thanks in advance!",Support general,O365,O365
Mac baseline,3e83070783eee790,"Hi, could you please create a Basis User account for [USERNAME]? Let me know if you need any additional information to get this set up.",Support general,Active Directory,Active Directory
Mac baseline,a317c086e6388c60,"Hi, could you please remove my access to a shared mailbox? I no longer need it and would like it taken off my account. Thanks!",O365,Active Directory,Active Directory
Mac baseline,835c596a53a8f1f4,"Hey, I'm having an issue with the BlackBerry Work app on my phone — can someone take a look and help me get it working again?",Support general,Active Directory,Active Directory
Mac baseline,02fd4dbfd11e27f7,"[SERVER] is being taken offline and needs to be fully decommissioned. Can you remove it from Nexthink, sort out any remaining IP reservations, and let the network team know to remove the firewall rules?",EOL,Computer-Services,Computer-Services
Mac baseline,cc5c244e12918b2c,"Hi, this is being flagged by [COMPANY] at [LOCATION] — it looks like there's a vulnerable version of Office running on [SERVER] that needs to be addressed. Could someone look into getting this patched?",Support general,O365,O365
Mac baseline,db7861ac1970259a,"Hi there! We need to decommission [SERVER] — please remove it from Nexthink, check if there are any IP reservations still assigned to it, and coordinate with the network team to get those firewall rules removed.",EOL,Computer-Services,Computer-Services
Mac baseline,f18043005ca1948f,"Hi, could you please set up a new Windows account for a new team member? They'll need email access through Exchange, Skype, and the standard file share access that everyone else has.",Support general,Active Directory,Active Directory
Mac baseline,04a2322fbbb5aef9,"Hello, could you please create a light external user account for someone outside our organization? They just need basic email access and standard system access. Thank you!",Support general,O365,O365
Mac baseline,c12b66bca7636f07,"Hey, we're decommissioning [SERVER] and need the Nexthink entry removed, any IP reservations reviewed, and the network team looped in to remove the firewall rules. Can you take care of that?",EOL,Computer-Services,Computer-Services
Mac baseline,669de02cd3ed994c,"Hi, I'm having trouble accessing the Itau bank website — it just won't load for me. Can you help me figure out what's going on?",Support general,Computer-Services,Computer-Services
Mac tuned adapter,c9f0003e33d4c4a5,"Hi, could you please set me up with access to LVS? I need it for my work but I'm not able to get in at the moment. Thanks!",Fileservice,Active Directory,Active Directory
Mac tuned adapter,f378873b0f1ea6f3,"Hey, I'm trying to duplicate my screen but I can't get it to work — could someone help me set it up?",Support general,Computer-Services,Computer-Services
Mac tuned adapter,5c25918d4aee6b69,"Hey, I just got a new computer and need help getting it set up. Can someone assist?",Active Directory,Support general,Support general
Mac tuned adapter,63f6fb73bec352c2,"Hey, I need some help with my system configuration. Could someone reach out to assist me with getting things set up properly?",Software,Support general,Support general
Mac tuned adapter,068c780f7e16c865,"Hi! I keep getting prompted to log in to OneDrive when I try to save changes to a file — it doesn't happen every single time, but it's pretty frequent. I thought I wouldn't need to keep signing in while I'm on my work computer connected to the network. Any help would be appreciated, thanks!",O365,Active Directory,Active Directory
Mac tuned adapter,30c7556ac5fb9dc7,"Hi, could you please set up a new account for me? I just started and need to get access sorted out. Thanks!",Active Directory,Fileservice,Fileservice
Mac tuned adapter,f64826de097b8ced,"Hi! The [LOCATION] already has a PDS1000 helium gun listed in the equipment subfolder in Outlook called 'Genie Gun,' and we need a second PDS1000 added to that same folder listed as 'Genie Gun #2.' Could you get that added for us? Thanks so much!",O365,Support general,Support general
Mac tuned adapter,7a21b7a230258372,"Hi, I need to request login access for [LOCATION] — could someone please help me get that set up?",Fileservice,Support general,Support general
Mac tuned adapter,d3c71b1b0e59bf9e,"Hey, I'm getting an error when I try to use the RFB website. Not sure what's causing it but I can't get it to load properly — could someone help?",Support general,Software,Software
Mac tuned adapter,e7f6f93b0e0ad5f3,"Hi, I need help getting the T18 update applied to my computer. Can someone take care of that when they get a chance?",Software,Support general,Support general
Mac tuned adapter,71a07db0f81c8cd0,"Hey, I need to request access to [LOCATION] for our IT team — the site address is [ADDRESS], Americas region. Could someone get that set up?",Active Directory,Support general,Support general
Mac tuned adapter,9e1b03bd9cf94ff5,"Hi, I'm trying to access something but it looks like I don't have the right permissions. Could someone look into releasing access for me? Happy to provide more details if needed.",Fileservice,Active Directory,Active Directory
Mac tuned adapter,c80bbfd28ef5c491,"Hey, I just realized I don't have Outlook on my computer — can someone get that installed for me? I need it to handle my emails.",Software,O365,O365
Mac tuned adapter,27c2cb666560c30a,"Hello, I need a Light (external) user account created with email access and basic system permissions. Could you get that set up for me? Let me know what information you need.",Active Directory,Support general,Support general
Mac tuned adapter,74cbcad4893dbb00,"Hi, I need a program installed on my computer and also need the printer drivers updated. Could someone help me get both of those sorted out?",Computer-Services,Software,Software
Mac tuned adapter,d167893b85013fd0,"Hi there, could someone please install Microsoft Teams on my computer? I need it to connect with my team and I don't have it yet.",Software,O365,O365
Mac tuned adapter,bb3e1c8b6a87aaa0,"Hey, I'm having an issue with my headphones — can someone from IT help me out?",Support general,Computer-Services,Computer-Services
Mac tuned adapter,0a8b335d38e62edb,"Hi, I need to get a new email address set up. Could someone help me with that?",Active Directory,O365,O365
Mac tuned adapter,07629d51533938c3,"Hi, is it possible to have attachments automatically removed or stripped from emails that come in from external senders? I'd like to get that set up if we can.",O365,Software,Software
Mac tuned adapter,2135dd35f563c29e,"Hi, I'm having a problem with my computer — it's not turning on at all. I press the power button and nothing happens. Can someone come take a look as soon as possible?",Support general,Computer-Services,Computer-Services
Mac merged 8-bit,c9f0003e33d4c4a5,"Hi, could you please set me up with access to LVS? I need it for my work but I'm not able to get in at the moment. Thanks!",Fileservice,Active Directory,Active Directory
Mac merged 8-bit,f378873b0f1ea6f3,"Hey, I'm trying to duplicate my screen but I can't get it to work — could someone help me set it up?",Support general,Computer-Services,Computer-Services
Mac merged 8-bit,5c25918d4aee6b69,"Hey, I just got a new computer and need help getting it set up. Can someone assist?",Active Directory,Support general,Support general
Mac merged 8-bit,63f6fb73bec352c2,"Hey, I need some help with my system configuration. Could someone reach out to assist me with getting things set up properly?",Software,Support general,Support general
Mac merged 8-bit,068c780f7e16c865,"Hi! I keep getting prompted to log in to OneDrive when I try to save changes to a file — it doesn't happen every single time, but it's pretty frequent. I thought I wouldn't need to keep signing in while I'm on my work computer connected to the network. Any help would be appreciated, thanks!",O365,Active Directory,Active Directory
Mac merged 8-bit,30c7556ac5fb9dc7,"Hi, could you please set up a new account for me? I just started and need to get access sorted out. Thanks!",Active Directory,Fileservice,Fileservice
Mac merged 8-bit,f64826de097b8ced,"Hi! The [LOCATION] already has a PDS1000 helium gun listed in the equipment subfolder in Outlook called 'Genie Gun,' and we need a second PDS1000 added to that same folder listed as 'Genie Gun #2.' Could you get that added for us? Thanks so much!",O365,Support general,Support general
Mac merged 8-bit,7a21b7a230258372,"Hi, I need to request login access for [LOCATION] — could someone please help me get that set up?",Fileservice,Support general,Support general
Mac merged 8-bit,d3c71b1b0e59bf9e,"Hey, I'm getting an error when I try to use the RFB website. Not sure what's causing it but I can't get it to load properly — could someone help?",Support general,Software,Software
Mac merged 8-bit,e7f6f93b0e0ad5f3,"Hi, I need help getting the T18 update applied to my computer. Can someone take care of that when they get a chance?",Software,Support general,Support general
Mac merged 8-bit,71a07db0f81c8cd0,"Hey, I need to request access to [LOCATION] for our IT team — the site address is [ADDRESS], Americas region. Could someone get that set up?",Active Directory,Support general,Support general
Mac merged 8-bit,9e1b03bd9cf94ff5,"Hi, I'm trying to access something but it looks like I don't have the right permissions. Could someone look into releasing access for me? Happy to provide more details if needed.",Fileservice,Active Directory,Active Directory
Mac merged 8-bit,c80bbfd28ef5c491,"Hey, I just realized I don't have Outlook on my computer — can someone get that installed for me? I need it to handle my emails.",Software,O365,O365
Mac merged 8-bit,27c2cb666560c30a,"Hello, I need a Light (external) user account created with email access and basic system permissions. Could you get that set up for me? Let me know what information you need.",Active Directory,Support general,Support general
Mac merged 8-bit,74cbcad4893dbb00,"Hi, I need a program installed on my computer and also need the printer drivers updated. Could someone help me get both of those sorted out?",Computer-Services,Software,Software
Mac merged 8-bit,d167893b85013fd0,"Hi there, could someone please install Microsoft Teams on my computer? I need it to connect with my team and I don't have it yet.",Software,O365,O365
Mac merged 8-bit,bb3e1c8b6a87aaa0,"Hey, I'm having an issue with my headphones — can someone from IT help me out?",Support general,Computer-Services,Computer-Services
Mac merged 8-bit,0a8b335d38e62edb,"Hi, I need to get a new email address set up. Could someone help me with that?",Active Directory,O365,O365
Mac merged 8-bit,07629d51533938c3,"Hi, is it possible to have attachments automatically removed or stripped from emails that come in from external senders? I'd like to get that set up if we can.",O365,Software,Software
Mac merged 8-bit,2135dd35f563c29e,"Hi, I'm having a problem with my computer — it's not turning on at all. I press the power button and nothing happens. Can someone come take a look as soon as possible?",Support general,Computer-Services,Computer-Services
Mac merged 4-bit (diagnostic),f378873b0f1ea6f3,"Hey, I'm trying to duplicate my screen but I can't get it to work — could someone help me set it up?",Support general,Computer-Services,Computer-Services
Mac merged 4-bit (diagnostic),5c25918d4aee6b69,"Hey, I just got a new computer and need help getting it set up. Can someone assist?",Active Directory,Computer-Services,Computer-Services
Mac merged 4-bit (diagnostic),c54842cfb5164519,"Hello, I need a light external user account set up for someone outside the company — just email and basic access is all they need. Please let me know once it's ready!",Support general,O365,O365
Mac merged 4-bit (diagnostic),ca9d9f0ae5efb7b2,"We're taking [SERVER] offline for good. Could you handle removing it from Nexthink, sorting out any IP reservations, and coordinating with the network team on the firewall rules?",EOL,Support general,Support general
Mac merged 4-bit (diagnostic),63f6fb73bec352c2,"Hey, I need some help with my system configuration. Could someone reach out to assist me with getting things set up properly?",Software,Support general,Support general
Mac merged 4-bit (diagnostic),5bf48dac4eb5e908,"Hi, [NAME] is having two issues — Outlook isn't working at all and there's also no internet connection on their machine. Can someone come by to help as soon as possible?",O365,Computer-Services,Computer-Services
Mac merged 4-bit (diagnostic),60fa4ab945587d53,"Hi, whenever I try to open a PDF file it keeps opening in WordPad instead of a PDF reader, and I can't read it properly at all. Can someone help me fix this so my PDFs open correctly?",Software,Fileservice,Fileservice
Mac merged 4-bit (diagnostic),4285cb50bc44c508,"Hi there, could you help me get a new user account set up? Please let me know if you need any additional details from me. Thanks!",Fileservice,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),69d44b1d6452e518,This was flagged by [COMPANY] [LOCATION] — there's a vulnerable [LOCATION] on [SERVER] that needs to be looked into.,Support general,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),5697782db77bd8d7,"Hi, could you please create a Basic User account for [USERNAME]? Thanks in advance.",Support general,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),20d97bc47beed79a,"Hello, could you set up a Light external user account with email and basic system access? It's for someone who works outside our organization. Thanks in advance!",Support general,INVALID,External User Access (O365)
Mac merged 4-bit (diagnostic),fa09b8fcc4971e56,"Hi there, we have a new user who needs an account set up. They'll need a Windows login, an Exchange email, Skype, and access to the standard shared drives. Could you get that created for them?",Support general,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),f64826de097b8ced,"Hi! The [LOCATION] already has a PDS1000 helium gun listed in the equipment subfolder in Outlook called 'Genie Gun,' and we need a second PDS1000 added to that same folder listed as 'Genie Gun #2.' Could you get that added for us? Thanks so much!",O365,Computer-Services,Computer-Services
Mac merged 4-bit (diagnostic),f7dcde192dc94cef,"Hi there, could you create a light external account for someone we're bringing on temporarily? They'll just need email and basic system access. Thanks so much!",Support general,O365,O365
Mac merged 4-bit (diagnostic),4110aedfa0670c61,"Hey, could you please create a new Windows user account for someone starting soon? They'll need Exchange email, Skype, and standard file share access set up. Appreciate it!",Support general,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),5ad420ef2826130d,I'm working from home today and can't get an internet connection through my ethernet cable. Wifi seems fine but the wired connection just isn't working at all.,Support general,Computer-Services,Computer-Services
Mac merged 4-bit (diagnostic),8ac22a9fd841d4c4,"Hi, just flagging that there's a vulnerability alert that was initiated by [COMPANY] [LOCATION] on [SERVER] at [LOCATION]. Could someone look into this as soon as possible?",Support general,INVALID,Security Alert
Mac merged 4-bit (diagnostic),7a21b7a230258372,"Hi, I need to request login access for [LOCATION] — could someone please help me get that set up?",Fileservice,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),d3c71b1b0e59bf9e,"Hey, I'm getting an error when I try to use the RFB website. Not sure what's causing it but I can't get it to load properly — could someone help?",Support general,O365,O365
Mac merged 4-bit (diagnostic),a87a6d1705d932ae,"Hello, could you please create a Light external user account with email and basic system access for someone outside our organization? Thanks so much!",Support general,O365,O365
Mac merged 4-bit (diagnostic),71a07db0f81c8cd0,"Hey, I need to request access to [LOCATION] for our IT team — the site address is [ADDRESS], Americas region. Could someone get that set up?",Active Directory,INVALID,"Access request – Location: [LOCATION], Region: Americas  
Category: Fileservice"
Mac merged 4-bit (diagnostic),9e1b03bd9cf94ff5,"Hi, I'm trying to access something but it looks like I don't have the right permissions. Could someone look into releasing access for me? Happy to provide more details if needed.",Fileservice,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),3f32e8a2b5b5a8dc,"Hi, I need my Okta Verify reset — I'm not able to authenticate right now and I'm locked out of everything. Please help!",Software,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),efbbb92eefd7ddda,"Hello everyone, I'm running into a network access issue between two servers. From [IP_ADDRESS] there's no access to port 443 (HTTPS) on [IP_ADDRESS], though it works fine in the other direction. We have a geoprocessing web application that requires two-way communication over HTTPS between the app server and the geoprocessing server, so we really need traffic to flow both ways. Could you please enable access from [IP_ADDRESS] to port 443 on [IP_ADDRESS]? Thanks so much, [NAME]",Support general,INVALID,Network Access / Firewall Configuration (under Network Services)
Mac merged 4-bit (diagnostic),bdfe54fe6a09e70a,"Hi, I'm having some trouble with access — could someone help me out? I'm not sure who else to contact.",Active Directory,Support general,Support general
Mac merged 4-bit (diagnostic),c80bbfd28ef5c491,"Hey, I just realized I don't have Outlook on my computer — can someone get that installed for me? I need it to handle my emails.",Software,O365,O365
Mac merged 4-bit (diagnostic),2ecb11b307867d09,"Hi there, we have a new person starting and they'll need a user account set up. Could you help get that sorted out for them?",Fileservice,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),547b58d0139533e1,"Hello, I need a new Windows account set up for someone on my team. They'll need email through Exchange, Skype, and access to the standard shared drives. Thanks!",Support general,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),27c2cb666560c30a,"Hello, I need a Light (external) user account created with email access and basic system permissions. Could you get that set up for me? Let me know what information you need.",Active Directory,O365,O365
Mac merged 4-bit (diagnostic),74cbcad4893dbb00,"Hi, I need a program installed on my computer and also need the printer drivers updated. Could someone help me get both of those sorted out?",Computer-Services,Software,Software
Mac merged 4-bit (diagnostic),dd47d6637644c0f8,This was initiated by [COMPANY] [LOCATION] — there's a vulnerable [LOCATION] identified at [LOCATION]-[ADDRESS] that needs to be investigated.,Support general,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),d4af0c3b69cc74e4,"Hey, I need to get registered with Okta and I'm not sure how to do it on my own. Could someone walk me through the new Okta registration process?",Software,O365,O365
Mac merged 4-bit (diagnostic),cd616f1300b032bb,"Hey, could you set up a basic user account for Birgit with the username [USERNAME] at [COMPANY] in [LOCATION]? Thanks in advance!",Support general,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),d167893b85013fd0,"Hi there, could someone please install Microsoft Teams on my computer? I need it to connect with my team and I don't have it yet.",Software,O365,O365
Mac merged 4-bit (diagnostic),157fee2d953dfdd9,"Hello, we have a new team member starting and need a user account created for them. Could you help get that set up? Let me know what information you need from me.",Fileservice,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),01b46e1aaedcc28b,"Hey, could someone check the DNS and DHCP entries for the 10.10.89.0 network on the server side? Something doesn't seem right and it needs to be looked into.",Support general,INVALID,Network Services
Mac merged 4-bit (diagnostic),bb3e1c8b6a87aaa0,"Hey, I'm having an issue with my headphones — can someone from IT help me out?",Support general,Computer-Services,Computer-Services
Mac merged 4-bit (diagnostic),b8c252526b36df23,"Hi, could you please create a Light (external) user account with email and basic system access for an external user? Thanks so much!",Support general,O365,O365
Mac merged 4-bit (diagnostic),0a8b335d38e62edb,"Hi, I need to get a new email address set up. Could someone help me with that?",Active Directory,O365,O365
Mac merged 4-bit (diagnostic),2135dd35f563c29e,"Hi, I'm having a problem with my computer — it's not turning on at all. I press the power button and nothing happens. Can someone come take a look as soon as possible?",Support general,Computer-Services,Computer-Services
Mac merged 4-bit (diagnostic),57f263938739c2a1,"Hi, could you please set up a Light (external) user account for someone who needs email access and basic system access? Thanks in advance!",Support general,O365,O365
Mac merged 4-bit (diagnostic),3e83070783eee790,"Hi, could you please create a Basis User account for [USERNAME]? Let me know if you need any additional information to get this set up.",Support general,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),cc5c244e12918b2c,"Hi, this is being flagged by [COMPANY] at [LOCATION] — it looks like there's a vulnerable version of Office running on [SERVER] that needs to be addressed. Could someone look into getting this patched?",Support general,O365,O365
Mac merged 4-bit (diagnostic),f18043005ca1948f,"Hi, could you please set up a new Windows account for a new team member? They'll need email access through Exchange, Skype, and the standard file share access that everyone else has.",Support general,Active Directory,Active Directory
Mac merged 4-bit (diagnostic),04a2322fbbb5aef9,"Hello, could you please create a light external user account for someone outside our organization? They just need basic email access and standard system access. Thank you!",Support general,O365,O365
Fireworks baseline,c9f0003e33d4c4a5,"Hi, could you please set me up with access to LVS? I need it for my work but I'm not able to get in at the moment. Thanks!",Fileservice,O365,O365
Fireworks baseline,3aadf05c0023ccb5,"Hi, we received an NTT alert — it looks like there's a ping monitoring alert for [SERVER] related to cpe0013940 ([LOCATION]_ManuelOcampo) at [COMPANY] SE. Can someone investigate what's going on with [LOCATION] Monitor [LOCATION]_ManuelOcampo?",Support general,O365,O365
Fireworks baseline,4a9c82f8fdcf1c77,"Hi, we need help setting up the [COMPANY] calendar on a personal/private notebook. The person responsible for this is [NAME] — please reach out to them directly if you need any additional information.",O365,Support general,Support general
Fireworks baseline,5c25918d4aee6b69,"Hey, I just got a new computer and need help getting it set up. Can someone assist?",Active Directory,Support general,Support general
